player_name,team,position,adp,min_draft_position,max_draft_position,bye_week,is_bye_week5,is_bye_week6,is_bye_week7,is_bye_week8,is_bye_week9,is_bye_week10,is_bye_week11,is_bye_week12,is_bye_week14,is_qb_eligible,is_rb_eligible,is_wr_eligible,is_te_eligible,is_flex_eligible,pff_ppr_projected_points,numberfire_ppr_projected_points,rotoballer_ppr_projected_points,athletic_ppr_projected_points,athletic_half_projected_points,athletic_std_projected_points,week11_actual_ppr_points
Ja'Marr Chase,CIN,WR,1.12,1,4,10,0,0,0,0,0,1,0,0,0,0,0,1,0,1,333.4,390.8,355,314.5260868,260.9623799,207.398673,195.7
Bijan Robinson,ATL,RB,2.44,1,6,5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,299.4,321.1,329,295.8862855,274.9915559,254.0968263,211.9
Jahmyr Gibbs,DET,RB,3.44,1,6,8,0,0,0,1,0,0,0,0,0,0,1,0,0,1,295.1,334.6,324,310.2075527,283.1212283,256.0349039,203.6
CeeDee Lamb,DAL,WR,3.83,2,7,10,0,0,0,0,0,1,0,0,0,0,0,1,0,1,274.6,322.7,301,302.7026185,248.0991785,193.4957384,107.9
Saquon Barkley,PHI,RB,5.11,2,8,9,0,0,0,0,1,0,0,0,0,0,1,0,0,1,285.5,327.2,311,283.5112388,265.4097333,247.3082278,150.9
Justin Jefferson,MIN,WR,5.69,2,8,6,0,1,0,0,0,0,0,0,0,0,0,1,0,1,291.2,344.7,295,289.8150037,240.683102,191.5512002,143.1
Christian McCaffrey,SF,RB,7.5,3,14,14,0,0,0,0,0,0,0,0,1,0,1,0,0,1,277.2,336.8,288,340.8717539,311.128294,281.384834,283.9
Malik Nabers,NYG,WR,8.78,6,12,14,0,0,0,0,0,0,0,0,1,0,0,1,0,1,266,281.5,273.8465842,274.0397525,221.9607421,169.8817318,57.1
Amon-Ra St Brown,DET,WR,10.17,6,16,8,0,0,0,1,0,0,0,0,0,0,0,1,0,1,270,315.9,288,287.2618898,233.7902396,180.3185894,188.4
Brian Thomas Jr,JAX,WR,10.51,7,17,8,0,0,0,1,0,0,0,0,0,0,0,1,0,1,287.1,286.7,269,271.2046786,224.4935731,177.7824676,85.6
Nico Collins,HOU,WR,11.11,7,16,6,0,1,0,0,0,0,0,0,0,0,0,1,0,1,277.3,285.8,281,263.1223782,217.5521707,171.9819632,146.5
Ashton Jeanty,LV,RB,11.5,5,18,8,0,0,0,1,0,0,0,0,0,0,1,0,0,1,290.3,219.9,252,243.8972458,227.1826659,210.4680861,142.7
Drake London,ATL,WR,13.34,6,20,5,1,0,0,0,0,0,0,0,0,0,0,1,0,1,259.4,282.1,271,273.5659107,224.2747556,174.9836005,177
Derrick Henry,BAL,RB,13.47,7,19,7,0,0,1,0,0,0,0,0,0,0,1,0,0,1,252.5,223.5,274,273.2293922,264.0537992,254.8782062,141.1
Puka Nacua,LA,WR,14.41,8,22,8,0,0,0,1,0,0,0,0,0,0,0,1,0,1,285.3,298.2,281,285.7200112,235.4150966,185.110182,195.3
Chase Brown,CIN,RB,16.76,11,25,10,0,0,0,0,0,1,0,0,0,0,1,0,0,1,225.9,222.5,258,257.5016794,232.3090005,207.1163216,131.8
De'Von Achane,MIA,RB,18.17,12,27,12,0,0,0,0,0,0,0,1,0,0,1,0,0,1,275.6,299.2,276,284.604981,249.3592015,214.113422,235
Josh Jacobs,GB,RB,19.66,14,26,5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,252,227.9,259,267.4756711,250.0754761,232.6752811,182.5
AJ Brown,PHI,WR,19.75,14,26,9,0,0,0,0,1,0,0,0,0,0,0,1,0,1,255.7,270.6,261,229.7660179,192.514718,155.2634181,101.7
Jonathan Taylor,IND,RB,19.97,13,28,11,0,0,0,0,0,0,1,0,0,0,1,0,0,1,242.7,210.6,263,253.1179615,239.6262942,226.1346268,271.9
Bucky Irving,TB,RB,20.04,11,31,9,0,0,0,0,1,0,0,0,0,0,1,0,0,1,281.8,212.2,259,284.7584529,262.6742505,240.5900481,74
Brock Bowers,LV,TE,20.75,13,29,8,0,0,0,1,0,0,0,0,0,0,0,0,1,1,245.9,270.6,257,263.992598,211.3834713,158.7743445,102.7
Ladd McConkey,LAC,WR,22,14,29,12,0,0,0,0,0,0,0,1,0,0,0,1,0,1,249.7,284.3,245,246.3728773,202.1407628,157.9086484,142.4
Jaxon Smith-Njigba,SEA,WR,26.5,21,35,8,0,0,0,1,0,0,0,0,0,0,0,1,0,1,217.9,279.3,250,264.977529,217.2853892,169.5932493,219.9
Tee Higgins,CIN,WR,27.2,17,35,10,0,0,0,0,0,1,0,0,0,0,0,1,0,1,245.7,263.6,257,257.990934,214.0850568,170.1791797,131.4
Kyren Williams,LA,RB,27.34,17,43,8,0,0,0,1,0,0,0,0,0,0,1,0,0,1,241.9,208.4,245,253.0384849,238.9311553,224.8238257,170.2
Trey McBride,ARZ,TE,28,20,40,8,0,0,0,1,0,0,0,0,0,0,0,0,1,1,235.9,242,234,243.6461801,193.6982137,143.7502473,184.8
Lamar Jackson,BAL,QB,28.91,17,38,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,338.5,384.1,359,382.5868811,382.5868811,382.5868811,143.3
Omarion Hampton,LAC,RB,30.17,8,46,12,0,0,0,0,0,0,0,1,0,0,1,0,0,1,227.9,206.7,207,241.5194771,225.6436416,209.7678062,77
Josh Allen,BUF,QB,30.8,23,42,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,341.4,384.1,362,370.4744498,370.4744498,370.4744498,268.5
Garrett Wilson,NYJ,WR,32.08,19,45,9,0,0,0,0,1,0,0,0,0,0,0,1,0,1,239.6,242.9,237,223.8640978,182.7730373,141.6819767,99.5
Marvin Harrison Jr,ARZ,WR,33.5,22,51,8,0,0,0,1,0,0,0,0,0,0,0,1,0,1,233.1,264.8,226,215.1276348,176.2538302,137.3800255,110.5
TreVeyon Henderson,NE,RB,34.22,21,49,14,0,0,0,0,0,0,0,0,1,0,1,0,0,1,166.4,159.7,198,228.1512978,202.6275867,177.1038755,127.7
Tyreek Hill,MIA,WR,34.68,20,46,12,0,0,0,0,0,0,0,1,0,0,0,1,0,1,217.9,279.4,252.2134674,259.3404021,216.0722623,172.8041225,53.5
James Cook,BUF,RB,37.26,20,51,7,0,0,1,0,0,0,0,0,0,0,1,0,0,1,231.7,189.1,233,210.1757767,195.1887925,180.2018082,206.7
Tetairoa McMillan,CAR,WR,37.47,26,51,14,0,0,0,0,0,0,0,0,1,0,0,1,0,1,216.1,144.6,210,229.9378727,188.1309868,146.3241008,152.8
Davante Adams,LA,WR,38.46,18,51,8,0,0,0,1,0,0,0,0,0,0,0,1,0,1,225.2,226.8,250,261.7305921,214.9929863,168.2553806,159.9
Terry McLaurin,WAS,WR,38.48,27,49,12,0,0,0,0,0,0,0,1,0,0,0,1,0,1,235,253.9,250,247.2914126,205.1490451,163.0066775,39.3
Mike Evans,TB,WR,38.74,27,51,9,0,0,0,0,1,0,0,0,0,0,0,1,0,1,232.6,252.5,251,245.7223205,205.4663702,165.2104199,34
Joe Burrow,CIN,QB,39.01,24,58,10,0,0,0,0,0,1,0,0,0,1,0,0,0,0,314.9,338.9,331,338.9590524,338.9590524,338.9590524,15.9
Xavier Worthy,KC,WR,40.7,28,58,10,0,0,0,0,0,1,0,0,0,0,0,1,0,1,213.6,200.1,218,243.9687068,201.3746899,158.780673,68.4
Jayden Daniels,WAS,QB,41.14,25,58,12,0,0,0,0,0,0,0,1,0,1,0,0,0,0,339.5,335.9,360,368.2782348,368.2782348,368.2782348,115.6
George Kittle,SF,TE,42.31,28,57,14,0,0,0,0,0,0,0,0,1,0,0,0,1,1,209.3,225.5,226,240.2383536,199.353678,158.4690025,81.8
Kenneth Walker III,SEA,RB,43.19,24,59,8,0,0,0,1,0,0,0,0,0,0,1,0,0,1,248.1,210.8,213,220.9286419,203.2254099,185.5221779,111.3
Courtland Sutton,DEN,WR,44.55,33,56,12,0,0,0,0,0,0,0,1,0,0,0,1,0,1,202.6,222.6,217,230.8127116,190.1193562,149.4260009,133.9
George Pickens,DAL,WR,46.53,35,66,10,0,0,0,0,0,1,0,0,0,0,0,1,0,1,191.1,188.7,221,231.7639428,192.0238977,152.2838527,190.8
Breece Hall,NYJ,RB,47.58,24,65,9,0,0,0,0,1,0,0,0,0,0,1,0,0,1,223.3,218.8,210,203.9080337,181.5630909,159.2181482,136.8
DK Metcalf,PIT,WR,48.71,31,59,5,1,0,0,0,0,0,0,0,0,0,0,1,0,1,223.4,229.7,238,236.1236916,196.4790154,156.8343391,122.1
Alvin Kamara,NO,RB,48.85,36,61,11,0,0,0,0,0,0,1,0,0,0,1,0,0,1,221.6,204.5,230,272.7721852,237.14694,201.5216949,101.2
DJ Moore,CHI,WR,49.28,37,64,5,1,0,0,0,0,0,0,0,0,0,0,1,0,1,223.4,210.1,234,217.1413233,178.7553062,140.3692891,90.8
Jalen Hurts,PHI,QB,50.39,23,68,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,333.3,348.7,355,361.8182431,361.8182431,361.8182431,205.3
Calvin Ridley,TEN,WR,50.92,34,61,10,0,0,0,0,0,1,0,0,0,0,0,1,0,1,191.6,209.4,214,240.5810943,200.065585,159.5500757,47.3
Jameson Williams,DET,WR,51.22,39,60,8,0,0,0,1,0,0,0,0,0,0,0,1,0,1,215.1,188.6,203,245.5467464,209.3889967,173.231247,118.2
Chuba Hubbard,CAR,RB,53.79,33,71,14,0,0,0,0,0,0,0,0,1,0,1,0,0,1,216.7,165.6,219,231.5768362,210.9251689,190.2735017,81
Emeka Egbuka,TB,WR,54.45,39,66,9,0,0,0,0,1,0,0,0,0,0,0,1,0,1,128.9,176.1055023,171,228.4165068,189.3315848,150.2466628,153.6
DeVonta Smith,PHI,WR,57.56,46,70,9,0,0,0,0,1,0,0,0,0,0,0,1,0,1,214.1,218.9,223,215.1824876,179.0355216,142.8885555,133.5
James Conner,ARZ,RB,59.25,45,72,8,0,0,0,1,0,0,0,0,0,0,1,0,0,1,218.8,202.7,219.2604778,236.2814333,216.0258686,195.7703039,33.3
Zay Flowers,BAL,WR,59.25,48,72,7,0,0,1,0,0,0,0,0,0,0,0,1,0,1,212.7,228.3,221,204.8142766,168.7559089,132.6975412,132.4
RJ Harvey,DEN,RB,59.48,17,72,12,0,0,0,0,0,0,0,1,0,0,1,0,0,1,220,134.4,177,193.5950193,176.1631254,158.7312316,107.9
Ricky Pearsall,SF,WR,59.5,43,72,14,0,0,0,0,0,0,0,0,1,0,0,1,0,1,136.4,177.4,192,231.9882445,192.1221734,152.2561023,53.3
Jaylen Waddle,MIA,WR,60.46,49,80,12,0,0,0,0,0,0,0,1,0,0,0,1,0,1,210,190.4,210,225.5165437,185.5172216,145.5178994,151.2
D'Andre Swift,CHI,RB,62.41,39,78,5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,209,180,199,212.7723717,191.7622906,170.7522095,137.4
Tony Pollard,TEN,RB,62.69,42,75,10,0,0,0,0,0,1,0,0,0,0,1,0,0,1,205.1,171.9,222,185.0248454,172.4250094,159.8251733,98.9
Jerry Jeudy,CLE,WR,63.83,51,77,9,0,0,0,0,1,0,0,0,0,0,0,1,0,1,195.2,210.3,217,219.0762749,179.0404059,139.004537,72.6
Rashee Rice,KC,WR,64.15,50,84,10,0,0,0,0,0,1,0,0,0,0,0,1,0,1,227.5,171.7,181,173.575763,142.6958027,111.8158424,77.1
Travis Hunter,JAX,WR,65.4,50,83,8,0,0,0,1,0,0,0,0,0,0,0,1,0,1,215.5,184.6,202.7061978,208.0185935,170.0312682,132.0439429,63.8
Rome Odunze,CHI,WR,65.71,53,81,5,1,0,0,0,0,0,0,0,0,0,0,1,0,1,188.8,170.1,195,222.6287627,182.759715,142.8906672,135
Isiah Pacheco,KC,RB,67.11,50,81,10,0,0,0,0,0,1,0,0,0,0,1,0,0,1,188.2,198.2,185,202.7834177,193.7615784,184.7397391,60.2
Matthew Golden,GB,WR,70.62,51,84,5,1,0,0,0,0,0,0,0,0,0,0,1,0,1,180.2,184.1,192,205.0470003,171.409684,137.7723677,57.1
Chris Olave,NO,WR,70.96,57,85,11,0,0,0,0,0,0,1,0,0,0,0,1,0,1,195.8,203.7,201,204.4779709,165.0186944,125.5594179,150.1
David Montgomery,DET,RB,73.25,51,85,8,0,0,0,1,0,0,0,0,0,0,1,0,0,1,187.1,175.3,209,171.7960963,164.5430571,157.2900179,105.9
Patrick Mahomes,KC,QB,74.4,41,108,10,0,0,0,0,0,1,0,0,0,1,0,0,0,0,306.9,336.1,317,322.174038,322.174038,322.174038,223.8
Sam LaPorta,DET,TE,74.75,55,93,8,0,0,0,1,0,0,0,0,0,0,0,0,1,1,182.5,174.1,181,178.7385938,144.7188352,110.6990766,106.9
Stefon Diggs,NE,WR,75.03,48,91,14,0,0,0,0,0,0,0,0,1,0,0,1,0,1,173.6,207.4,199,166.7342993,134.8661228,102.9979464,142.9
Deebo Samuel,WAS,WR,75.28,59,99,12,0,0,0,0,0,0,0,1,0,0,0,1,0,1,198.4,209.3,197,188.6555149,155.9588819,123.2622489,141.2
Aaron Jones,MIN,RB,76.16,59,89,6,0,1,0,0,0,0,0,0,0,0,1,0,0,1,205.8,197.4,204,203.5914629,183.3711291,163.1507953,61.8
Jakobi Meyers,JAX,WR,79,57,99,8,0,0,0,1,0,0,0,0,0,0,0,1,0,1,196.7,207.6,196,224.7399843,181.1688357,137.5976872,86.7
Jordan Addison,MIN,WR,80.85,62,100,6,0,1,0,0,0,0,0,0,0,0,0,1,0,1,196.9,142.4,171,169.0803722,138.604458,108.1285437,88.8
Tyrone Tracy,NYG,RB,81.05,62,103,14,0,0,0,0,0,0,0,0,1,0,1,0,0,1,164,155.4,186,185.4279613,167.5575677,149.687174,71.4
Travis Kelce,KC,TE,82.41,50,104,10,0,0,0,0,0,1,0,0,0,0,0,0,1,1,158.9,204.7,188,224.6416674,180.6632674,136.6848673,137.1
Jaylen Warren,PIT,RB,82.94,62,102,5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,188.2,181.3,177,191.2132337,170.447267,149.6813002,118.5
Zach Charbonnet,SEA,RB,83.27,62,98,8,0,0,0,1,0,0,0,0,0,0,1,0,0,1,153.9,151.2,163,152.7756215,134.9013811,117.0271408,86.7
TJ Hockenson,MIN,TE,84.68,58,110,6,0,1,0,0,0,0,0,0,0,0,0,0,1,1,186.8,200.1,175,162.9701541,130.0335829,97.09701177,74
Tyler Warren,IND,TE,85.43,68,104,11,0,0,0,0,0,0,1,0,0,0,0,0,1,1,151.4,145.6,159,143.5788572,116.3032384,89.02761965,136.3
Kaleb Johnson,PIT,RB,86.55,66,109,5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,155.3,136.7,162,153.9210192,147.2291496,140.53728,7.7
Jordan Mason,MIN,RB,87.26,61,103,6,0,1,0,0,0,0,0,0,0,0,1,0,0,1,126,141.9,136,144.6724727,136.5921378,128.511803,95.3
Jauan Jennings,SF,WR,87.65,70,114,14,0,0,0,0,0,0,0,0,1,0,0,1,0,1,189.8,231,190,189.0087165,155.0631855,121.1176545,87.8
Khalil Shakir,BUF,WR,89.76,74,118,7,0,0,1,0,0,0,0,0,0,0,0,1,0,1,193.8,176.5,185,181.3708286,146.8503054,112.3297823,128.9
Baker Mayfield,TB,QB,90.99,55,126,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,297,320.8,317,332.2843477,332.2843477,332.2843477,185.3
Travis Etienne Jr,JAX,RB,91.63,72,119,8,0,0,0,1,0,0,0,0,0,0,1,0,0,1,158.8,177.9,148,164.6816198,149.4837816,134.2859433,142.9
JK Dobbins,DEN,RB,91.64,71,117,12,0,0,0,0,0,0,0,1,0,0,1,0,0,1,108.8,152,146.7802922,179.5408765,159.9420431,140.3432097,115.9
Michael Pittman Jr,IND,WR,93.05,62,112,11,0,0,0,0,0,0,1,0,0,0,0,1,0,1,170.1,191.8,194,165.994425,133.8747607,101.7550964,148
Keon Coleman,BUF,WR,93.39,72,110,7,0,0,1,0,0,0,0,0,0,0,0,1,0,1,173.4,185.4,164,174.7580635,144.4391767,114.1202899,83
Cooper Kupp,SEA,WR,93.71,69,113,8,0,0,0,1,0,0,0,0,0,0,0,1,0,1,176.8,202.7,194,225.4161428,183.2191861,141.0222294,74
Dak Prescott,DAL,QB,93.97,60,134,10,0,0,0,0,0,1,0,0,0,1,0,0,0,0,276.1,282.7955262,268,304.2865787,304.2865787,304.2865787,199.2
Bo Nix,DEN,QB,94.2,68,129,12,0,0,0,0,0,0,0,1,0,1,0,0,0,0,279.9,314.9,296,306.6460715,306.6460715,306.6460715,200.1
Josh Downs,IND,WR,94.82,74,117,11,0,0,0,0,0,0,1,0,0,0,0,1,0,1,181.4,161.7,175,178.7888149,145.947372,113.1059292,85.6
Jacory Croskey-Merritt,WAS,RB,95.83,73,126,12,0,0,0,0,0,0,0,1,0,0,1,0,0,1,154.3895047,154.3895047,143,165.7790094,156.56854,147.3580705,89.6
Mark Andrews,BAL,TE,97.46,57,126,7,0,0,1,0,0,0,0,0,0,0,0,0,1,1,154.8,197.4,179,180.7821125,149.2670091,117.7519057,99.9
Chris Godwin,TB,WR,97.55,73,137,9,0,0,0,0,1,0,0,0,0,0,0,1,0,1,197.7,213.3,178,184.5637912,150.8103546,117.0569181,11.2
Evan Engram,DEN,TE,100.04,73,127,12,0,0,0,0,0,0,0,1,0,0,0,0,1,1,150.2,134.2,163,164.6937589,131.5961386,98.49851819,64.7
Javonte Williams,DAL,RB,101.53,59,125,10,0,0,0,0,0,1,0,0,0,0,1,0,0,1,158.2,164.1,154,185.5035601,168.1662818,150.8290034,170.2
David Njoku,CLE,TE,105.04,81,136,9,0,0,0,0,1,0,0,0,0,0,0,0,1,1,174.4,182.3,173,188.6522492,150.8158575,112.9794657,76.8
